,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
26,Nesoi,Νῆσοι,god,primordial, goddesses of islands,Nesoi,Nesoi
27,Nyx,Νύξ,god,primordial, goddess of night,Nyx,Nyx
28,Ourea,Οὔρεα,god,primordial, gods of mountains,Ourea,Ourea
29,Phanes,Φάνης,god,primordial, god of procreation in the orphic tradition,Phanes,Phanes
30,Pontus,Πόντος,god,primordial," god of the sea, father of the fish and other sea creatures",Pontus_(mythology),Pontus
31,Tartarus,Τάρταρος,god,primordial," god of the deepest, darkest part of the underworld, the tartarean pit (which is also referred to as tartarus itself)",Tartarus,Tartarus
32,Thalassa,Θάλασσα,god,primordial,personification of the sea and consort of pontus,Thalassa,Thalassa
33,Thanatos,Θάνατος,god,primordial,god of death,Thanatos,Thanatos
34,Uranus,Οὐρανός,god,primordial, god of the heavens (father sky); father of the titans,Uranus_(mythology),Uranus
35,Coeus,Κοῖος,titan,twelve titan,titan of intellect and the axis of heaven around which the constellations revolved,Coeus,Coeus
36,Crius,Κρεῖος,titan,twelve titan," least individualized of the twelve titans, he is the father of astraeus, pallas, and perses",Crius,Crius
37,Cronus,Κρόνος,titan,twelve titan,titan of harvests and personification of destructive time,Cronus,Cronus
38,Hyperion,Ὑπερίων,titan,twelve titan,titan of light,Hyperion_(Titan),Hyperion
39,Iapetus,Ἰαπετός,titan,twelve titan,"titan of mortality and father of prometheus, epimetheus, menoetius, and atlas",Iapetus,Iapetus
40,Mnemosyne,Mνημοσύνη,titan,twelve titan,"titaness of memory and remembrance, and mother of the nine muses",Mnemosyne,Mnemosyne
41,Oceanus,Ὠκεανός,titan,twelve titan,"titan of the all-encircling river oceans around the earth, the fount of all the earths fresh-water",Oceanus,Oceanus
42,Phoebe,Φοίβη,titan,twelve titan,"titaness of the bright intellect and prophecy, and consort of koios",Phoebe_(Titaness),Phoebe
43,Rhea,Ῥέα,titan,twelve titan,"titaness of fertility, motherhood and the mountain wilds",Rhea_(mythology),Rhea
44,Tethys,Τηθύς,titan,twelve titan,"titaness of fresh-water, and the mother of the rivers, springs, streams, fountains, and clouds",Tethys_(mythology),Tethys
45,Theia,Θεία,titan,twelve titan,titaness of sight and the shining light of the clear blue sky,Theia,Theia
46,Themis,Θέμις,titan,twelve titan,titaness of divine law and order,Themis,Themis
47,Asteria,Ἀστερία,titan,other titan,titaness of nocturnal oracles and falling stars,Asteria_(mythology),Asteria
48,Astraeus,Ἀστραῖος,titan,other titan,"titan of dusk, stars, and planets, and the art of astrology",Astraeus,Astraeus
49,Atlas,Ἄτλας,titan,other titan,titan forced to carry the heavens upon his shoulders by zeus,Atlas_(mythology),Atlas
50,Dione,Διώνη,titan,other titan,titaness of the oracle of dodona,Dione_(Titaness),Dione
51,Helios,Ἥλιος,titan,other titan,titan of the sun and guardian of oaths,Helios,Helios
52,Selene,Σελήνη,titan,other titan,titaness of the moon,Selene,Selene
53,Eos,Ἠώς,titan,other titan,titaness of the dawn,Eos,Eos
54,Epimetheus,Ἐπιμηθεύς,titan,other titan,titan of afterthought and the father of excuses,Epimetheus,Epimetheus
55,Lelantos,Λήλαντος,titan,other, titan father of the nymph aura,Lelantos,Lelantos
56,Leto,Λητώ,titan,other titan,"titaness of motherhood and mother of the twin olympians, artemis and apollo",Leto,Leto
57,Menoetius,Μενοίτιος,titan,other titan,"titan of violent anger, rash action, and human mortality",Menoetius,Menoetius
58,Metis,Μῆτις,titan,other titan,"titaness of good counsel, advice, planning, cunning, craftiness, and wisdom",Metis_(mythology),Metis
59,Pallas,Πάλλας,titan,other titan,titan of warcraft,Pallas_(Titan),Pallas
60,Perses,Πέρσης,titan,other titan,titan of destruction,Perses_(Titan),Perses
61,Prometheus,Προμηθεύς,titan,other titan,"titan of forethought and crafty counsel, and creator of mankind",Prometheus,Prometheus
62,Styx,Στύξ,titan,other titan,titaness of the underworld river styx and personification of hatred,Styx,Styx
63,Adephagia,Ἀδηφαγία,personification,personification,spirit of satiety and gluttony,Adephagia,Adephagia
64,Adikia,Ἀδικία,personification,personification,spirit of injustice and wrongdoing,Adikia,Adikia
65,Aergia,Ἀεργία,personification,personification,"spirit of idleness, laziness, indolence and sloth",Aergia,Aergia
66,Agathodaemon,Ἀγαθοδαίμων,personification,personification,spirit  of the vineyards and grainfields,Agathodaemon,Agathodaemon
67,Agon,Ἀγών,personification,personification,"spirit of contest, who possessed an altar at olympia, site of the olympic games",Agon,Agon
68,Aidos,Αἰδώς,personification,personification,"spirit of modesty, reverence and respect",Aidos,Aidos
69,Aisa,Αἴσα,personification,personification,personification of lot and fate,Atropos,Aisa
70,Alala,Ἀλαλά,personification,personification,spirit of the war cry,Alala,Alala
71,Alastor,Ἀλάστωρ,personification,personification,spirit of blood feuds and vengeance,Alastor,Alastor
72,Aletheia,Ἀλήθεια,personification,personification,"spirit of truth, truthfulness and sincerity",Althaea_(mythology),Aletheia
73,Achos,Ἄχος,personification,personification,spirit of trouble and distress (algea; ἄλγεα),Achaeus_(mythology),Achos
74,Ania,Ἀνία,personification,personification,spirit of ache and anguish (algea; ἄλγεα),Algos,Ania
75,Lupe,Λύπη,personification,personification,"spirit of pain, grief, and sadness (algea; ἄλγεα)",Algos,Lupe
76,Alke,Ἀλκή,personification,personification,spirit of prowess and courage (one of the machai),Alke,Alke
77,Amechania,Ἀμηχανία,personification,personification,spirit of helplessness and want of means,Amechania,Amechania
78,The Amphilogiai,Ἀμφιλογίαι,personification,personification,"spirits of disputes, debate, and contention",Amphillogiai,The Amphilogiai
79,Anaideia,Ἀναίδεια,personification,personification,"spirit of ruthlessness, shamelessness, and unforgivingness",Anaideia,Anaideia
80,The Androktasiai,Ἀνδροκτασίαι,personification,personification,spirits of battlefield slaughter,Androktasiai,The Androktasiai
81,Angelia,Ἀγγελία,personification,personification,"spirit of messages, tidings and proclamations",Angelia,Angelia
82,Apate,Ἀπάτη,personification,personification,"spirit of deceit, guile, fraud and deception",Apate,Apate
